PRODUCTKEY,PRODUCT_NAME,BRAND,COLOR,UNIT_COST_USD,UNIT_PRICE_USD,SUBCATEGORYKEY,SUBCATEGORY,CATEGORYKEY,CATEGORY
1,CONTOSO 512MB MP3 PLAYER E51 SILVER,CONTOSO,SILVER,6.62,12.99,101,MP4&MP3,1,AUDIO
2,CONTOSO 512MB MP3 PLAYER E51 BLUE,CONTOSO,BLUE,6.62,12.99,101,MP4&MP3,1,AUDIO
3,CONTOSO 1G MP3 PLAYER E100 WHITE,CONTOSO,WHITE,7.4,14.52,101,MP4&MP3,1,AUDIO
4,CONTOSO 2G MP3 PLAYER E200 SILVER,CONTOSO,SILVER,11.0,21.57,101,MP4&MP3,1,AUDIO
5,CONTOSO 2G MP3 PLAYER E200 RED,CONTOSO,RED,11.0,21.57,101,MP4&MP3,1,AUDIO
6,CONTOSO 2G MP3 PLAYER E200 BLACK,CONTOSO,BLACK,11.0,21.57,101,MP4&MP3,1,AUDIO
7,CONTOSO 2G MP3 PLAYER E200 BLUE,CONTOSO,BLUE,11.0,21.57,101,MP4&MP3,1,AUDIO
8,CONTOSO 4G MP3 PLAYER E400 SILVER,CONTOSO,SILVER,30.58,59.99,101,MP4&MP3,1,AUDIO
9,CONTOSO 4G MP3 PLAYER E400 BLACK,CONTOSO,BLACK,30.58,59.99,101,MP4&MP3,1,AUDIO
10,CONTOSO 4G MP3 PLAYER E400 GREEN,CONTOSO,GREEN,30.58,59.99,101,MP4&MP3,1,AUDIO
11,CONTOSO 4G MP3 PLAYER E400 ORANGE,CONTOSO,ORANGE,30.58,59.99,101,MP4&MP3,1,AUDIO
12,CONTOSO 4GB FLASH MP3 PLAYER E401 BLUE,CONTOSO,BLUE,35.72,77.68,101,MP4&MP3,1,AUDIO
13,CONTOSO 4GB FLASH MP3 PLAYER E401 BLACK,CONTOSO,BLACK,35.72,77.68,101,MP4&MP3,1,AUDIO
14,CONTOSO 4GB FLASH MP3 PLAYER E401 SILVER,CONTOSO,SILVER,35.72,77.68,101,MP4&MP3,1,AUDIO
15,CONTOSO 4GB FLASH MP3 PLAYER E401 WHITE,CONTOSO,WHITE,35.72,77.68,101,MP4&MP3,1,AUDIO
16,CONTOSO 8GB SUPER-SLIM MP3/VIDEO PLAYER M800 WHITE,CONTOSO,WHITE,50.56,109.95,101,MP4&MP3,1,AUDIO
17,CONTOSO 8GB SUPER-SLIM MP3/VIDEO PLAYER M800 RED,CONTOSO,RED,50.56,109.95,101,MP4&MP3,1,AUDIO
18,CONTOSO 8GB SUPER-SLIM MP3/VIDEO PLAYER M800 GREEN,CONTOSO,GREEN,50.56,109.95,101,MP4&MP3,1,AUDIO
19,CONTOSO 8GB SUPER-SLIM MP3/VIDEO PLAYER M800 PINK,CONTOSO,PINK,50.56,109.95,101,MP4&MP3,1,AUDIO
20,CONTOSO 8GB MP3 PLAYER NEW MODEL M820 BLACK,CONTOSO,BLACK,61.62,134.0,101,MP4&MP3,1,AUDIO
21,CONTOSO 8GB MP3 PLAYER NEW MODEL M820 BLUE,CONTOSO,BLUE,61.62,134.0,101,MP4&MP3,1,AUDIO
22,CONTOSO 8GB MP3 PLAYER NEW MODEL M820 YELLOW,CONTOSO,YELLOW,61.62,134.0,101,MP4&MP3,1,AUDIO
23,CONTOSO 8GB MP3 PLAYER NEW MODEL M820 WHITE,CONTOSO,WHITE,61.62,134.0,101,MP4&MP3,1,AUDIO
24,CONTOSO 16GB MP5 PLAYER M1600 BLUE,CONTOSO,BLUE,91.93,199.9,101,MP4&MP3,1,AUDIO
25,CONTOSO 16GB MP5 PLAYER M1600 BLACK,CONTOSO,BLACK,91.93,199.9,101,MP4&MP3,1,AUDIO
26,CONTOSO 16GB MP5 PLAYER M1600 GREEN,CONTOSO,GREEN,91.93,199.9,101,MP4&MP3,1,AUDIO
27,CONTOSO 16GB MP5 PLAYER M1600 WHITE,CONTOSO,WHITE,91.93,199.9,101,MP4&MP3,1,AUDIO
28,CONTOSO 16GB MP5 PLAYER M1600 RED,CONTOSO,RED,91.93,199.9,101,MP4&MP3,1,AUDIO
29,CONTOSO 32GB VIDEO MP3 PLAYER M3200 WHITE,CONTOSO,WHITE,84.49,255.0,101,MP4&MP3,1,AUDIO
30,CONTOSO 32GB VIDEO MP3 PLAYER M3200 RED,CONTOSO,RED,84.49,255.0,101,MP4&MP3,1,AUDIO
31,CONTOSO 32GB VIDEO MP3 PLAYER M3200 ORANGE,CONTOSO,ORANGE,84.49,255.0,101,MP4&MP3,1,AUDIO
32,CONTOSO 32GB VIDEO MP3 PLAYER M3200 PINK,CONTOSO,PINK,84.49,255.0,101,MP4&MP3,1,AUDIO
33,CONTOSO 32GB VIDEO MP3 PLAYER M3200 BLACK,CONTOSO,BLACK,84.49,255.0,101,MP4&MP3,1,AUDIO
34,CONTOSO 4GB PORTABLE MP3 PLAYER M450 BLACK,CONTOSO,BLACK,48.92,95.95,101,MP4&MP3,1,AUDIO
35,CONTOSO 4GB PORTABLE MP3 PLAYER M450 WHITE,CONTOSO,WHITE,48.92,95.95,101,MP4&MP3,1,AUDIO
36,CONTOSO 4GB PORTABLE MP3 PLAYER M450 YELLOW,CONTOSO,YELLOW,48.92,95.95,101,MP4&MP3,1,AUDIO
37,CONTOSO 8GB CLOCK & RADIO MP3 PLAYER X850 SILVER,CONTOSO,SILVER,99.14,299.23,101,MP4&MP3,1,AUDIO
38,CONTOSO 8GB CLOCK & RADIO MP3 PLAYER X850 BLACK,CONTOSO,BLACK,99.14,299.23,101,MP4&MP3,1,AUDIO
39,CONTOSO 8GB CLOCK & RADIO MP3 PLAYER X850 GREEN,CONTOSO,GREEN,99.14,299.23,101,MP4&MP3,1,AUDIO
40,CONTOSO 8GB CLOCK & RADIO MP3 PLAYER X850 BLUE,CONTOSO,BLUE,99.14,299.23,101,MP4&MP3,1,AUDIO
41,CONTOSO 16GB NEW GENERATION MP5 PLAYER M1650 SILVER,CONTOSO,SILVER,106.69,232.0,101,MP4&MP3,1,AUDIO
42,CONTOSO 16GB NEW GENERATION MP5 PLAYER M1650 WHITE,CONTOSO,WHITE,106.69,232.0,101,MP4&MP3,1,AUDIO
43,CONTOSO 16GB NEW GENERATION MP5 PLAYER M1650 BLACK,CONTOSO,BLACK,106.69,232.0,101,MP4&MP3,1,AUDIO
44,CONTOSO 16GB NEW GENERATION MP5 PLAYER M1650 BLUE,CONTOSO,BLUE,106.69,232.0,101,MP4&MP3,1,AUDIO
45,CONTOSO 16GB NEW GENERATION MP5 PLAYER M1650 PINK,CONTOSO,PINK,106.69,232.0,101,MP4&MP3,1,AUDIO
46,WWI 1GB PULSE SMART PEN E50 WHITE,WIDE WORLD IMPORTERS,WHITE,76.45,149.95,104,RECORDING PEN,1,AUDIO
47,WWI 1GBPULSE SMART PEN E50 BLACK,WIDE WORLD IMPORTERS,BLACK,76.45,149.95,104,RECORDING PEN,1,AUDIO
48,WWI 1GB PULSE SMART PEN E50 SILVER,WIDE WORLD IMPORTERS,SILVER,76.45,149.95,104,RECORDING PEN,1,AUDIO
49,WWI 2GB PULSE SMART PEN M100 WHITE,WIDE WORLD IMPORTERS,WHITE,91.95,199.95,104,RECORDING PEN,1,AUDIO
50,WWI 2GB PULSE SMART PEN M100 BLACK,WIDE WORLD IMPORTERS,BLACK,91.95,199.95,104,RECORDING PEN,1,AUDIO
51,WWI 2GB PULSE SMART PEN M100 BLUE,WIDE WORLD IMPORTERS,BLUE,91.95,199.95,104,RECORDING PEN,1,AUDIO
52,WWI 2GB PULSE SMART PEN M100 SILVER,WIDE WORLD IMPORTERS,SILVER,91.95,199.95,104,RECORDING PEN,1,AUDIO
53,WWI 4GB VIDEO RECORDING PEN X200 BLACK,WIDE WORLD IMPORTERS,BLACK,98.07,296.0,104,RECORDING PEN,1,AUDIO
54,WWI 4GB VIDEO RECORDING PEN X200 RED,WIDE WORLD IMPORTERS,RED,98.07,296.0,104,RECORDING PEN,1,AUDIO
55,WWI 4GB VIDEO RECORDING PEN X200 PINK,WIDE WORLD IMPORTERS,PINK,98.07,296.0,104,RECORDING PEN,1,AUDIO
56,WWI 4GB VIDEO RECORDING PEN X200 YELLOW,WIDE WORLD IMPORTERS,YELLOW,98.07,296.0,104,RECORDING PEN,1,AUDIO
57,WWI 1GB DIGITAL VOICE RECORDER PEN E100 BLACK,WIDE WORLD IMPORTERS,BLACK,79.53,156.0,104,RECORDING PEN,1,AUDIO
58,WWI 1GB DIGITAL VOICE RECORDER PEN E100 RED,WIDE WORLD IMPORTERS,RED,79.53,156.0,104,RECORDING PEN,1,AUDIO
59,WWI 1GB DIGITAL VOICE RECORDER PEN E100 PINK,WIDE WORLD IMPORTERS,PINK,79.53,156.0,104,RECORDING PEN,1,AUDIO
60,WWI 1GB DIGITAL VOICE RECORDER PEN E100 WHITE,WIDE WORLD IMPORTERS,WHITE,79.53,156.0,104,RECORDING PEN,1,AUDIO
61,WWI 2GB SPY VIDEO RECORDER PEN M300 BLACK,WIDE WORLD IMPORTERS,BLACK,83.24,181.0,104,RECORDING PEN,1,AUDIO
62,WWI 2GB SPY VIDEO RECORDER PEN M300 WHITE,WIDE WORLD IMPORTERS,WHITE,83.24,181.0,104,RECORDING PEN,1,AUDIO
