STOREKEY,COUNTRY,STATE,SQUARE_METERS,OPEN_DATE
1,AUSTRALIA,AUSTRALIAN CAPITAL TERRITORY,595,2008-01-01
2,AUSTRALIA,NORTHERN TERRITORY,665,2008-01-12
3,AUSTRALIA,SOUTH AUSTRALIA,2000,2012-01-07
4,AUSTRALIA,TASMANIA,2000,2010-01-01
5,AUSTRALIA,VICTORIA,2000,2015-12-09
6,AUSTRALIA,WESTERN AUSTRALIA,2000,2010-01-01
7,CANADA,NEW BRUNSWICK,1105,2007-05-07
8,CANADA,NEWFOUNDLAND AND LABRADOR,2105,2014-07-02
9,CANADA,NORTHWEST TERRITORIES,1500,2005-03-04
10,CANADA,NUNAVUT,1210,2015-04-04
11,CANADA,YUKON,1210,2009-06-03
12,FRANCE,BASSE-NORMANDIE,350,2012-06-06
13,FRANCE,CORSE,245,2013-06-07
14,FRANCE,FRANCHE-COMTÃ©,350,2009-12-15
15,FRANCE,LA RÃ©UNION,400,2015-01-01
16,FRANCE,LIMOUSIN,385,2010-06-03
17,FRANCE,MARTINIQUE,350,2007-07-08
18,FRANCE,MAYOTTE,310,2012-08-08
19,GERMANY,BERLIN,1295,2015-04-04
20,GERMANY,BRANDENBURG,1715,2012-12-15
21,GERMANY,FREIE HANSESTADT BREMEN,560,2018-06-03
22,GERMANY,FREISTAAT THÃ¼RINGEN,2000,2008-03-06
23,GERMANY,HAMBURG,1365,2010-01-01
24,GERMANY,HESSEN,1855,2012-12-15
25,GERMANY,MECKLENBURG-VORPOMMERN,1610,2010-01-01
26,GERMANY,SAARLAND,350,2019-03-05
27,GERMANY,SACHSEN-ANHALT,2000,2008-08-08
28,ITALY,CALTANISSETTA,1200,2012-12-15
29,ITALY,ENNA,1000,2008-01-01
30,ITALY,PESARO,2100,2008-01-12
31,NETHERLANDS,DRENTHE,1085,2012-01-07
32,NETHERLANDS,FLEVOLAND,910,2010-01-01
33,NETHERLANDS,FRIESLAND,1540,2015-12-09
34,NETHERLANDS,GRONINGEN,1365,2010-01-01
35,NETHERLANDS,ZEELAND,1225,2007-05-07
36,UNITED KINGDOM,ARMAGH,1300,2014-07-02
37,UNITED KINGDOM,AYRSHIRE,2100,2005-03-04
38,UNITED KINGDOM,BELFAST,1800,2015-04-04
39,UNITED KINGDOM,BLAENAU GWENT,2100,2009-06-03
40,UNITED KINGDOM,DUNGANNON AND SOUTH TYRONE,1300,2012-06-06
41,UNITED KINGDOM,FERMANAGH,2100,2013-06-07
42,UNITED KINGDOM,NORTH DOWN,1900,2009-12-15
43,UNITED STATES,ALASKA,1190,2015-01-01
44,UNITED STATES,ARKANSAS,2000,2010-06-03
45,UNITED STATES,CONNECTICUT,2000,2007-07-08
46,UNITED STATES,DELAWARE,1015,2012-08-08
47,UNITED STATES,HAWAII,1120,2015-04-04
48,UNITED STATES,IDAHO,1540,2012-12-15
49,UNITED STATES,IOWA,2000,2018-06-03
50,UNITED STATES,KANSAS,2000,2008-03-06
51,UNITED STATES,MAINE,1295,2010-01-01
52,UNITED STATES,MISSISSIPPI,2000,2009-06-03
53,UNITED STATES,MONTANA,1260,2012-06-06
54,UNITED STATES,NEBRASKA,2000,2013-06-07
55,UNITED STATES,NEVADA,2000,2009-12-15
56,UNITED STATES,NEW HAMPSHIRE,1260,2015-01-01
57,UNITED STATES,NEW MEXICO,1645,2010-06-03
58,UNITED STATES,NORTH DAKOTA,1330,2007-07-08
59,UNITED STATES,OREGON,2000,2012-08-08
60,UNITED STATES,RHODE ISLAND,1260,2005-04-04
61,UNITED STATES,SOUTH CAROLINA,2000,2012-12-15
62,UNITED STATES,SOUTH DAKOTA,1120,2018-06-03
63,UNITED STATES,UTAH,2000,2008-03-06
64,UNITED STATES,WASHINGTON DC,1330,2010-01-01
65,UNITED STATES,WEST VIRGINIA,1785,2012-01-01
66,UNITED STATES,WYOMING,840,2014-01-01
0,ONLINE,ONLINE,0,2010-01-01
