YEAR_AND_MONTH,PRODUCTKEY,STOREKEY,TOTAL_UNITS_SOLD,REVENUE_LAST_MONTH,REVENUE_3_LAST_MONTH,MONTH,QUARTER,TARGET_REVENUE_USD
2016-09,1583,0,4,27.78,13.89,9,3,55.56
2016-09,1586,0,1,63.30,101.28,9,3,12.66
2016-09,1622,0,3,219.00,219.00,9,3,657.00
2016-09,1622,65,2,1752.00,1314.00,9,3,438.00
2016-09,1637,0,3,89.95,107.94,9,3,53.97
2016-10,444,0,3,2757.00,4595.00,10,4,2757.00
2016-10,1422,0,2,1505.00,301.00,10,4,602.00
2016-10,1577,0,1,219.00,219.00,10,4,219.00
2016-10,1607,0,2,179.99,359.98,10,4,359.98
2016-10,1637,0,1,53.97,17.99,10,4,17.99
2016-11,444,0,7,2757.00,1838.00,11,4,6433.00
2016-11,1607,0,10,359.98,899.95,11,4,1799.90
2016-11,1616,0,3,341.94,455.92,11,4,170.97
2016-11,1626,0,2,219.00,219.00,11,4,438.00
2016-12,82,0,2,162.20,162.20,12,4,81.10
2016-12,444,0,16,6433.00,2757.00,12,4,14704.00
2016-12,1573,0,5,58.99,176.97,12,4,294.95
2016-12,1588,0,6,27.78,13.89,12,4,83.34
2016-12,1636,0,11,12.66,37.98,12,4,139.26
2016-12,1640,0,2,22.89,68.67,12,4,45.78
2016-12,1648,0,3,329.97,219.98,12,4,329.97
2016-12,1658,0,4,329.97,769.93,12,4,439.96
2016-12,1659,0,4,259.99,259.99,12,4,1039.96
2016-12,1660,0,9,3479.88,579.98,12,4,2609.91
2016-12,1672,0,1,16.89,67.56,12,4,16.89
2016-12,1684,0,4,16.89,118.23,12,4,67.56
2017-01,46,0,1,749.75,299.90,1,1,149.95
2017-01,61,0,1,181.00,543.00,1,1,181.00
2017-01,75,0,4,75.90,37.95,1,1,151.80
2017-01,82,0,3,81.10,202.75,1,1,121.65
2017-01,418,0,1,1079.80,1079.80,1,1,269.95
2017-01,444,0,2,14704.00,2757.00,1,1,1838.00
2017-01,450,0,1,2757.00,919.00,1,1,919.00
2017-01,1578,0,2,1314.00,1314.00,1,1,438.00
2017-01,1606,38,1,1119.93,159.99,1,1,159.99
2017-01,1607,0,1,1799.90,179.99,1,1,179.99
2017-01,1622,0,3,657.00,219.00,1,1,657.00
2017-01,1627,28,3,35.98,71.96,1,1,53.97
2017-01,1645,0,2,57.88,57.88,1,1,115.76
2017-01,2111,0,2,2632.50,5265.00,1,1,1755.00
2017-02,46,0,2,149.95,599.80,2,1,299.90
2017-02,61,0,1,181.00,543.00,2,1,181.00
2017-02,85,0,1,399.96,99.99,2,1,99.99
2017-02,138,0,1,499.99,4499.91,2,1,499.99
2017-02,418,0,2,269.95,809.85,2,1,539.90
2017-02,450,0,1,919.00,2757.00,2,1,919.00
2017-02,1578,0,6,438.00,657.00,2,1,1314.00
2017-02,1583,0,1,55.56,27.78,2,1,13.89
2017-02,1586,0,2,12.66,88.62,2,1,25.32
2017-02,1602,0,3,1079.94,359.98,2,1,539.97
2017-02,1647,0,2,359.98,179.99,2,1,359.98
2017-02,1658,0,2,439.96,549.95,2,1,219.98
2017-02,1684,0,5,67.56,84.45,2,1,84.45
2017-02,1991,0,3,359.98,179.99,2,1,539.97
2017-03,85,0,1,99.99,399.96,3,1,99.99
2017-03,100,0,3,1200.00,360.00,3,1,360.00
2017-03,440,0,5,439.90,1099.75,3,1,1099.75
2017-03,456,0,6,559.00,1677.00,3,1,3354.00
2017-03,1659,0,1,1039.96,519.98,3,1,259.99
2017-04,1578,0,6,1314.00,1314.00,4,2,1314.00
2017-05,52,0,5,399.90,599.85,5,2,999.75
2017-05,61,0,4,181.00,181.00,5,2,724.00
2017-05,82,0,1,121.65,162.20,5,2,40.55
2017-05,104,0,1,115.00,115.00,5,2,115.00
2017-05,189,0,7,126.90,126.90,5,2,888.30
2017-05,441,0,3,229.90,1839.20,5,2,689.70
2017-05,450,0,1,919.00,2757.00,5,2,919.00
2017-05,458,0,1,459.80,1379.40,5,2,229.90
2017-05,1578,0,3,1314.00,438.00,5,2,657.00
2017-05,1580,9,3,438.00,219.00,5,2,657.00
2017-05,1586,0,11,25.32,63.30,5,2,139.26
2017-05,1599,0,5,115.76,173.64,5,2,289.40
2017-05,1602,0,2,539.97,1079.94,5,2,359.98
2017-05,1619,0,3,119.98,239.96,5,2,179.97
2017-05,1619,48,5,59.99,179.97,5,2,299.95
2017-05,1622,65,2,438.00,219.00,5,2,438.00
2017-05,1630,0,5,22.89,45.78,5,2,114.45
2017-05,1657,0,1,179.99,179.99,5,2,179.99
2017-05,1658,0,4,219.98,329.97,5,2,439.96
2017-05,1660,0,2,2609.91,579.98,5,2,579.98
2017-06,52,0,2,999.75,1599.60,6,2,399.90
