STOREKEY,MONTH_DATE,MONTHLY_REVENUE,REVENUE_QUARTILE,STORE_PERFORMANCE_LABEL
15,2016-01-01,1332.8000000000002,1,LOW_PERFORMANCE
22,2016-01-01,1449.22,1,LOW_PERFORMANCE
33,2016-01-01,1876,1,LOW_PERFORMANCE
4,2016-01-01,1914.9,1,LOW_PERFORMANCE
16,2016-01-01,1954.6,1,LOW_PERFORMANCE
32,2016-01-01,2058.54,1,LOW_PERFORMANCE
17,2016-01-01,2201.15,1,LOW_PERFORMANCE
23,2016-01-01,2211.4700000000003,1,LOW_PERFORMANCE
31,2016-01-01,2607.46,1,LOW_PERFORMANCE
20,2016-01-01,2650.18,1,LOW_PERFORMANCE
2,2016-01-01,3846.85,1,LOW_PERFORMANCE
24,2016-01-01,4041.28,1,LOW_PERFORMANCE
43,2016-01-01,4232.66,1,LOW_PERFORMANCE
63,2016-01-01,4828.43,2,LOW_PERFORMANCE
39,2016-01-01,5207.04,2,LOW_PERFORMANCE
47,2016-01-01,5353,2,LOW_PERFORMANCE
18,2016-01-01,5496,2,LOW_PERFORMANCE
12,2016-01-01,5515.2,2,LOW_PERFORMANCE
59,2016-01-01,5651.49,2,LOW_PERFORMANCE
53,2016-01-01,5774.299999999999,2,LOW_PERFORMANCE
64,2016-01-01,6226.1900000000005,2,LOW_PERFORMANCE
55,2016-01-01,6555.8,2,LOW_PERFORMANCE
10,2016-01-01,6571.03,2,LOW_PERFORMANCE
41,2016-01-01,7552.299999999998,2,LOW_PERFORMANCE
54,2016-01-01,7871.0999999999985,2,LOW_PERFORMANCE
56,2016-01-01,8513.75,2,LOW_PERFORMANCE
45,2016-01-01,8891.6,3,LOW_PERFORMANCE
6,2016-01-01,11067.21,3,LOW_PERFORMANCE
30,2016-01-01,11486.77,3,LOW_PERFORMANCE
66,2016-01-01,11700.4,3,LOW_PERFORMANCE
44,2016-01-01,12069.59,3,LOW_PERFORMANCE
40,2016-01-01,13828.4,3,LOW_PERFORMANCE
38,2016-01-01,14459.689999999999,3,LOW_PERFORMANCE
57,2016-01-01,15203.429999999997,3,LOW_PERFORMANCE
37,2016-01-01,15724.369999999999,3,LOW_PERFORMANCE
51,2016-01-01,16271.639999999998,3,LOW_PERFORMANCE
42,2016-01-01,16650.16,3,LOW_PERFORMANCE
36,2016-01-01,17153.909999999996,3,LOW_PERFORMANCE
65,2016-01-01,18082.879999999997,4,HIGH_PERFORMANCE
28,2016-01-01,18779.499999999996,4,HIGH_PERFORMANCE
9,2016-01-01,19769.88,4,HIGH_PERFORMANCE
5,2016-01-01,20142.690000000002,4,HIGH_PERFORMANCE
8,2016-01-01,25219.430000000004,4,HIGH_PERFORMANCE
27,2016-01-01,26184.779999999995,4,HIGH_PERFORMANCE
61,2016-01-01,26454.02,4,HIGH_PERFORMANCE
50,2016-01-01,26870.100000000002,4,HIGH_PERFORMANCE
48,2016-01-01,28359.119999999995,4,HIGH_PERFORMANCE
19,2016-01-01,40940.95,4,HIGH_PERFORMANCE
29,2016-01-01,52921.39,4,HIGH_PERFORMANCE
0,2016-01-01,68194.13,4,HIGH_PERFORMANCE
12,2016-02-01,939.64,1,LOW_PERFORMANCE
15,2016-02-01,968.45,1,LOW_PERFORMANCE
13,2016-02-01,983.96,1,LOW_PERFORMANCE
45,2016-02-01,998.9599999999999,1,LOW_PERFORMANCE
40,2016-02-01,1937.82,1,LOW_PERFORMANCE
